time_index,y_true,y_pred,residual,absolute_error
95,98.5,98.26844,-0.23156000000000176,0.23155975
96,98.5,98.26845,-0.2315499999999986,0.23155212
97,98.5,98.26893,-0.23107000000000255,0.23107147
98,98.5,98.2694,-0.23059999999999548,0.23059845
99,98.5,98.269455,-0.23054500000000644,0.23054504
100,98.5,98.27008,-0.229920000000007,0.22991943
101,98.5,98.27055,-0.22944999999999993,0.22944641
102,98.5,98.270744,-0.22925600000000657,0.22925568
103,98.5,98.270546,-0.22945400000000404,0.22945404
104,98.5,98.270386,-0.229613999999998,0.22961426
105,98.5,98.271126,-0.22887400000000468,0.2288742
106,98.5,98.27197,-0.22803000000000395,0.22802734
107,98.5,98.27139,-0.2286100000000033,0.22860718
108,98.5,98.272,-0.22799999999999443,0.22799683
109,98.5,98.27208,-0.22791999999999746,0.22792053
110,98.5,98.27208,-0.22791999999999746,0.22792053
111,98.5,98.27148,-0.22852000000000317,0.22852325
112,98.5,98.27156,-0.2284400000000062,0.22843933
113,98.5,98.271866,-0.22813399999999717,0.22813416
114,98.5,98.27223,-0.2277700000000067,0.22776794
115,98.5,98.27162,-0.22838000000000136,0.2283783
116,98.5,98.27158,-0.22841999999999985,0.22841644
117,98.5,98.272026,-0.22797400000000323,0.22797394
